"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1864623855740092450","Thu Dec 05 10:52:24 +0000 2024","0","ada yang mau follow like klik Instagram tiktok facebook sama website ku gak ya buat tugas studi independen msib yang mau barter juga boleh","1864623855740092450","","","in","","0","3","0","https://x.com/cam_ilaa12/status/1864623855740092450","1405094006","cam_ilaa12"
"1864580877440962698","Thu Dec 05 08:01:38 +0000 2024","0","Hallo guys boleh minta bantuannya untuk follow akun @/tangsel_smartcity on ig untuk penugasan studi independen kelompokku bakal di bales dengan follback 3 akun boleh komen username akun kalian ya tag tangsel moots mootsig https://t.co/R0RUsjbRn1","1864580877440962698","https://pbs.twimg.com/media/GeBSa-ba0AABcSi.jpg","","in","Indonesia","0","0","0","https://x.com/accapinky/status/1864580877440962698","1750893724035629056","accapinky"
"1864347388376391963","Wed Dec 04 18:21:36 +0000 2024","0","@adoresungsun owalaa malah jauh banget yaa ternyata sama konsep dari fakultas aku malah dari fakultas aku itu jarang untuk di acc ikut studi independen dsb harus ikutin alur fakultas hikss banyak minus plusnya ternyata ka:(","1864374511803760878","","adoresungsun","in","19 ","0","1","0","https://x.com/hoonce23/status/1864374511803760878","1343665291255894016","hoonce23"
"1864347388376391963","Wed Dec 04 17:57:26 +0000 2024","0","@hoonce23 iya karena prodiku emang gak ada sih. kita adanya studi independen. jujur juga gak tau alasannya kenapa gak ada. kemarin aku magang terus sekarang TA sama studi independen","1864368428833993155","","hoonce23","in","03 • SHE/HER ","0","1","0","https://x.com/adoresungsun/status/1864368428833993155","1277022735726571520","adoresungsun"
"1864273497653998079","Wed Dec 04 16:52:24 +0000 2024","1","@uredaffodil @worksfess Gratis kak aku ikut studi independen","1864352065180586310","","uredaffodil","in","","0","1","0","https://x.com/hmapayas/status/1864352065180586310","3241977962","hmapayas"
"1864293929694421288","Wed Dec 04 13:01:24 +0000 2024","4","UH! halo kakak-kakak ada yang pernah ikut studi independen? bagaimana caranya ikut bgtuan dan apa prosedurnya makasii sebelumnya kakak-kakak","1864293929694421288","","","in","","0","1","0","https://x.com/unhasfess_/status/1864293929694421288","1575645784489402368","unhasfess_"
"1863956052309655596","Tue Dec 03 14:38:48 +0000 2024","0","sampe trauma sama salak hampir 2 bulan wkwk pdhl itu buah favoritku kebanyakan motong &amp; belah salak soalnya. sisanya misah-misahin keripik buah yg baru mateng dr penggorengan vakum gak digaji 08.00-16.00 tapi bisa izin ikut kelas (waktu itu sambil studi independen)","1863956052309655596","","","in","—kymhk 🩷🖤","0","0","0","https://x.com/kyomobabes/status/1863956052309655596","1471173605224591362","kyomobabes"
"1863955441220534693","Tue Dec 03 14:36:22 +0000 2024","0","sampe trauma sama salak hampir 2 bulan wkwk pdhl itu buah favoritku kebanyakan motong &amp; belah salak. sisanya misah-misahin keripik buah yg baru mateng dr penggorengan vakum gak digaji 08.00-16.00 tapi bisa izin ikut kelas (waktu itu sambil studi independen)","1863955441220534693","","","in","—kymhk 🩷🖤","0","0","0","https://x.com/kyomobabes/status/1863955441220534693","1471173605224591362","kyomobabes"
"1863935352983241171","Tue Dec 03 13:16:33 +0000 2024","0","klo masalah konversi sks gini udh nimbun banyak wkwkwk Studi independen 20 sks magang 20 sks lumayan bgtt si buat naikin ipk tp buat apa ipk bagus tapi otaknya kosong :' https://t.co/PoXTkT0RcE","1863935352983241171","https://pbs.twimg.com/media/Gd4HD8caYAADZ0T.jpg","","in","","0","1","0","https://x.com/riyusmind/status/1863935352983241171","1706187405202792448","riyusmind"
"1863852619384426750","Tue Dec 03 08:49:23 +0000 2024","0","@unesa_fess ada juga yg KKN kalo ga Studi Independen di smt6 di smt 7 baru balik kampus","1863868120089399807","","unesa_fess","in","","0","0","0","https://x.com/bocilfunky1/status/1863868120089399807","1243769624077844480","bocilfunky1"
